"WEC Canvass Reporting System",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Ward by Ward Report",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"2016 General Election",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"PRESIDENT OF THE UNITED STATES",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,"Total Votes Cast","REP","DEM","CON","LIB",,"WGR","IND","IND","IND","IND","IND","IND","IND","IND","IND","IND","IND",
"DOUGLAS ","TOWN OF AMNICON Wards 1-2",643,303,307,3,9,,8,2,1,0,3,2,0,0,0,0,0,0,5
,"TOWN OF BENNETT Ward 1",367,209,140,3,3,,9,0,0,0,0,0,0,0,0,0,0,0,3
,"TOWN OF BRULE Wards 1-2",377,145,207,2,15,,1,0,0,0,0,0,0,0,0,0,0,0,7
,"TOWN OF CLOVERLAND Ward 1",131,75,46,0,6,,2,0,0,0,0,0,0,0,0,0,0,0,2
,"TOWN OF DAIRYLAND Ward 1",113,82,24,1,3,,1,1,0,0,0,0,0,0,0,0,0,0,1
,"TOWN OF GORDON Ward 1",458,247,186,0,16,,1,0,1,0,4,0,0,0,0,0,0,0,3
,"TOWN OF HAWTHORNE Wards 1-2",609,328,246,1,15,,9,1,1,0,0,0,0,0,0,0,0,0,8
,"TOWN OF HIGHLAND Ward 1",215,103,97,0,6,,2,0,0,0,5,0,0,0,0,0,0,0,2
,"TOWN OF LAKESIDE Ward 1",384,191,164,4,12,,8,0,1,0,0,0,0,0,0,0,0,0,4
,"TOWN OF MAPLE Ward 1",394,167,194,3,5,,15,1,0,0,0,0,0,0,0,0,0,0,9
,"TOWN OF OAKLAND Wards 1-2",673,305,336,1,14,,9,2,0,0,1,0,0,0,0,0,0,0,5
,"TOWN OF PARKLAND Wards 1-2",682,306,336,5,25,,5,0,1,0,0,0,0,0,0,0,0,0,4
,"TOWN OF SOLON SPRINGS Wards 1-3",602,336,229,1,19,,4,1,0,0,2,0,0,0,0,0,0,0,10
,"TOWN OF SUMMIT Wards 1-2",602,255,312,1,19,,8,0,0,0,0,0,0,0,0,0,0,0,7
,"TOWN OF SUPERIOR Wards 1-2","1,289",645,593,4,24,,8,1,1,0,0,0,0,2,0,0,0,0,11
,"TOWN OF WASCOTT Ward 1",494,273,195,1,11,,7,0,0,0,0,0,0,0,0,0,0,0,7
,"VILLAGE OF LAKE NEBAGAMON Wards 1-2",697,381,288,2,9,,14,1,0,0,1,0,0,0,0,0,0,0,1
,"VILLAGE OF OLIVER Ward 1",253,97,143,0,8,,3,0,0,0,0,0,0,0,0,0,0,0,2
,"VILLAGE OF POPLAR Ward 1",347,210,123,1,8,,2,0,0,0,1,0,0,0,0,0,0,0,2
,"VILLAGE OF SOLON SPRINGS Ward 1",382,186,160,2,16,,11,0,1,0,1,0,0,0,0,0,0,0,5
,"VILLAGE OF SUPERIOR Ward 1",398,175,203,0,9,,5,0,2,0,2,0,0,0,0,0,0,0,2
,"CITY OF SUPERIOR Wards 1-3,7-8","2,779","1,026","1,561",10,93,,38,2,1,0,13,0,0,0,0,0,0,0,35
,"CITY OF SUPERIOR Wards 4-6,9-12","2,558","1,062","1,317",14,89,,31,1,0,0,0,0,0,0,0,0,0,0,44
,"CITY OF SUPERIOR Wards 13-16,20-22","2,646",935,"1,495",9,109,,53,3,1,0,12,0,0,0,0,0,0,0,29
,"CITY OF SUPERIOR Wards 17-19,30-32","1,746",589,989,10,79,,47,2,1,0,0,0,0,0,0,0,0,0,29
,"CITY OF SUPERIOR Wards 23-29","2,697","1,030","1,466",15,102,,38,3,0,0,5,0,0,0,0,0,0,0,38
,"County Totals:","22,536","9,661","11,357",93,724,,339,21,12,0,50,2,0,2,0,0,0,0,275
"DUNN ","TOWN OF COLFAX Ward 1-3",614,365,209,3,30,,3,0,0,0,4,0,0,0,0,0,0,0,0
,"TOWN OF DUNN Wards 1-2",773,396,337,4,21,,13,0,1,0,1,0,0,0,0,0,0,0,0
,"TOWN OF EAU GALLE Ward 1",436,295,124,0,14,,3,0,0,0,0,0,0,0,0,0,0,0,0
,"TOWN OF ELK MOUND Ward 1-3",896,563,278,5,40,,5,1,0,0,4,0,0,0,0,0,0,0,0
,"TOWN OF GRANT Ward 1-2",244,146,90,2,6,,0,0,0,0,0,0,0,0,0,0,0,0,0
,"TOWN OF HAY RIVER Ward 1-2",312,177,102,5,22,,5,1,0,0,0,0,0,0,0,0,0,0,0
,"TOWN OF LUCAS Ward 1",414,252,133,6,16,,6,0,0,0,0,1,0,0,0,0,0,0,0
,"TOWN OF MENOMONIE Ward 1-3","1,742",911,730,5,61,,26,1,1,0,7,0,0,0,0,0,0,0,0
,"TOWN OF NEW HAVEN Ward 1",331,216,95,3,14,,2,0,0,0,1,0,0,0,0,0,0,0,0
,"TOWN OF OTTER CREEK Ward 1",259,155,90,2,8,,4,0,0,0,0,0,0,0,0,0,0,0,0
,"TOWN OF PERU Ward 1",125,78,38,0,8,,1,0,0,0,0,0,0,0,0,0,0,0,0
,"TOWN OF RED CEDAR Ward 1-3","1,227",703,449,7,57,,8,0,1,0,2,0,0,0,0,0,0,0,0
,"TOWN OF ROCK CREEK Ward 1",536,315,198,1,13,,9,0,0,0,0,0,0,0,0,0,0,0,0
,"TOWN OF SAND CREEK Ward 1",303,176,114,1,7,,5,0,0,0,0,0,0,0,0,0,0,0,0
,"TOWN OF SHERIDAN Ward 1",242,169,63,1,6,,3,0,0,0,0,0,0,0,0,0,0,0,0
,"TOWN OF SHERMAN Ward 1",509,318,163,2,19,,5,0,0,0,2,0,0,0,0,0,0,0,0
,"TOWN OF SPRING BROOK Ward 1-2",901,552,290,4,46,,7,0,0,0,2,0,0,0,0,0,0,0,0
,"TOWN OF STANTON Ward 1",432,297,117,1,12,,3,0,0,0,2,0,0,0,0,0,0,0,0
,"TOWN OF TAINTER Ward 1-3","1,452",795,556,5,70,,19,1,2,0,4,0,0,0,0,0,0,0,0
,"TOWN OF TIFFANY Ward 1-2",339,242,82,2,11,,1,1,0,0,0,0,0,0,0,0,0,0,0
,"TOWN OF WESTON Ward 1-2",304,187,97,1,16,,3,0,0,0,0,0,0,0,0,0,0,0,0
,"TOWN OF WILSON Ward 1",271,153,103,1,9,,4,0,0,0,1,0,0,0,0,0,0,0,0
,"VILLAGE OF BOYCEVILLE Ward 1",437,256,157,1,18,,5,0,0,0,0,0,0,0,0,0,0,0,0
,"VILLAGE OF COLFAX Ward 1-2",539,278,226,0,24,,8,2,1,0,0,0,0,0,0,0,0,0,0
,"VILLAGE OF DOWNING Ward 1",119,89,28,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,0
,"VILLAGE OF ELK MOUND Ward 1",355,182,150,1,19,,2,0,1,0,0,0,0,0,0,0,0,0,0
,"VILLAGE OF KNAPP Ward 1",234,162,56,0,14,,2,0,0,0,0,0,0,0,0,0,0,0,0
,"VILLAGE OF RIDGELAND Ward 1",114,61,48,0,4,,1,0,0,0,0,0,0,0,0,0,0,0,0
,"VILLAGE OF WHEELER Ward 1",116,57,49,1,7,,1,0,0,0,1,0,0,0,0,0,0,0,0
,"CITY OF MENOMONIE Wards 1-2","1,551",663,771,8,73,,17,5,0,0,14,0,0,0,0,0,0,0,0
,"CITY OF MENOMONIE Wards 3-4","1,266",455,655,2,119,,29,1,0,0,5,0,0,0,0,0,0,0,0
,"CITY OF MENOMONIE Wards 5,7","1,288",488,657,5,96,,37,0,1,0,4,0,0,0,0,0,0,0,0
,"CITY OF MENOMONIE Ward 6",615,234,307,5,45,,16,0,2,0,4,2,0,0,0,0,0,0,0
,"CITY OF MENOMONIE Wards 8-9","1,245",503,623,7,88,,20,0,0,0,4,0,0,0,0,0,0,0,0
,"CITY OF MENOMONIE Wards 10-11","1,565",597,849,9,78,,21,3,1,0,7,0,0,0,0,0,0,0,0
,"County Totals:","22,106","11,486","9,034",100,"1,093",,294,16,11,0,69,3,0,0,0,0,0,0,0
"EAU CLAIRE ","TOWN OF BRIDGE CREEK Wards 1-2",605,362,219,3,12,,8,1,0,0,0,0,0,0,0,0,0,0,0
,"TOWN OF BRUNSWICK Wards 1-2","1,060",541,453,7,40,,3,0,0,0,4,0,0,0,0,1,0,0,11
,"TOWN OF CLEAR CREEK Wards 1-2",419,252,149,3,12,,1,0,0,0,0,0,0,0,0,0,0,0,2
,"TOWN OF DRAMMEN Ward 1",423,239,164,0,13,,3,0,0,0,1,0,0,0,0,0,0,0,3
,"TOWN OF FAIRCHILD Ward 1",143,100,37,1,2,,2,1,0,0,0,0,0,0,0,0,0,0,0
,"TOWN OF LINCOLN Wards 1-2",585,340,214,5,19,,4,0,0,0,0,0,0,0,0,0,0,0,3
,"TOWN OF LUDINGTON Ward 1",588,332,205,3,29,,8,0,0,0,3,0,0,0,0,0,0,0,8
,"TOWN OF OTTER CREEK Ward 1",254,149,84,2,16,,0,0,0,0,0,0,0,0,0,0,0,0,3
,"TOWN OF PLEASANT VALLEY Wards 1-4","2,185","1,239",818,16,64,,16,0,0,0,11,0,0,0,0,0,0,0,21
,"TOWN OF SEYMOUR Wards 1-6","1,983","1,019",838,10,71,,18,0,1,0,11,0,0,0,0,0,0,0,15
,"TOWN OF UNION Wards 1-4","1,468",755,610,9,61,,10,1,3,0,8,0,0,0,0,0,0,0,11
,"TOWN OF WASHINGTON Ward 1-13","4,376","2,210","1,888",18,140,,38,0,2,0,32,0,0,0,0,0,0,0,48
,"TOWN OF WILSON Ward 1",204,148,53,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0
,"VILLAGE OF FAIRCHILD Ward 1",199,119,72,1,4,,2,0,0,0,0,0,0,0,0,0,0,0,1
,"VILLAGE OF FALL CREEK Wards 1-2",731,371,303,6,39,,5,0,1,0,3,0,0,0,0,0,0,0,3
,"CITY OF ALTOONA Wards 1-11","3,829","1,717","1,814",15,163,,56,2,2,0,17,0,0,0,0,0,0,0,43
,"CITY OF ALTOONA Wards 12-15",2,0,2,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,"CITY OF AUGUSTA Wards 1-5",620,361,232,3,14,,3,0,0,0,4,0,0,0,0,0,0,0,3
,"CITY OF EAU CLAIRE Ward 1",489,143,284,3,33,,12,0,2,0,1,0,0,0,0,0,0,0,11
,"CITY OF EAU CLAIRE Ward 2",740,192,459,4,52,,20,2,0,0,1,0,0,0,0,0,0,0,10
,"CITY OF EAU CLAIRE Ward 3","1,777",387,"1,234",6,92,,26,2,0,0,9,0,0,0,0,0,0,1,20
,"CITY OF EAU CLAIRE Ward 4",499,205,247,4,27,,9,0,0,0,1,0,0,0,0,0,0,0,6
,"CITY OF EAU CLAIRE Ward 5","1,013",315,575,3,80,,19,1,1,0,4,0,0,0,0,0,0,0,15
,"CITY OF EAU CLAIRE Ward 6",958,287,545,3,77,,30,0,6,0,2,0,0,0,0,0,0,0,8
,"CITY OF EAU CLAIRE Ward 7",762,293,423,2,34,,8,0,0,0,1,0,0,0,0,0,0,0,1
,"CITY OF EAU CLAIRE Ward 8",805,345,406,2,33,,10,1,0,0,3,0,0,0,0,0,0,0,5
,"CITY OF EAU CLAIRE Ward 9",421,121,243,0,29,,17,0,0,0,4,0,0,0,0,0,0,0,7
,"CITY OF EAU CLAIRE Ward 10","1,140",498,558,6,55,,15,1,2,0,0,0,0,0,0,0,0,0,5
,"CITY OF EAU CLAIRE Ward 11",986,451,467,2,48,,7,0,0,0,3,0,0,0,0,0,0,0,8
,"CITY OF EAU CLAIRE Ward 12","1,643",686,857,8,61,,10,2,0,0,4,0,0,0,0,0,0,0,15
,"CITY OF EAU CLAIRE Ward 13",389,164,193,3,22,,3,1,0,0,2,0,0,0,0,0,0,0,1
,"CITY OF EAU CLAIRE Ward 14","1,163",488,581,8,59,,13,0,0,0,5,0,0,0,0,0,0,0,9
,"CITY OF EAU CLAIRE Ward 15","1,082",451,554,10,34,,16,1,0,0,4,0,0,0,0,0,0,0,12
,"CITY OF EAU CLAIRE Ward 17","1,399",555,726,5,61,,17,1,0,0,12,1,0,0,0,0,0,0,21
,"CITY OF EAU CLAIRE Ward 18",464,213,223,2,17,,1,1,0,0,1,0,0,0,0,0,0,0,6
,"CITY OF EAU CLAIRE Ward 19",422,171,222,0,21,,1,0,0,0,2,0,0,0,0,0,0,0,5
,"CITY OF EAU CLAIRE Ward 20","1,964",648,"1,102",5,143,,35,0,4,0,11,0,0,0,0,0,0,0,16
,"CITY OF EAU CLAIRE Ward 21","1,005",380,534,2,53,,13,1,0,0,7,0,0,0,0,0,0,0,15
,"CITY OF EAU CLAIRE Ward 22",384,164,186,4,19,,2,0,1,0,3,0,0,0,0,0,0,0,5
,"CITY OF EAU CLAIRE Ward 23","1,480",569,788,6,84,,14,1,1,0,7,0,0,0,0,0,0,0,10
,"CITY OF EAU CLAIRE Ward 24",213,49,144,0,13,,2,0,0,0,2,0,0,0,0,0,0,0,3
,"CITY OF EAU CLAIRE Ward 25","1,357",522,737,5,40,,13,1,0,0,14,0,0,0,0,0,0,0,25
,"CITY OF EAU CLAIRE Ward 26",525,212,279,3,17,,4,0,0,0,3,0,0,0,0,0,0,0,7
,"CITY OF EAU CLAIRE Ward 27",144,40,92,3,7,,0,0,0,0,1,0,0,0,0,0,0,0,1
,"CITY OF EAU CLAIRE Ward 28",400,187,195,1,11,,2,0,0,0,0,0,0,0,0,0,0,0,4
,"CITY OF EAU CLAIRE Ward 29","1,283",455,714,6,66,,21,1,2,0,5,0,0,0,0,0,0,0,13
,"CITY OF EAU CLAIRE Ward 30","1,028",356,584,4,43,,26,2,1,0,2,0,0,0,0,0,0,0,10
,"CITY OF EAU CLAIRE Ward 31","1,108",308,704,2,51,,28,0,2,0,5,0,0,0,0,0,0,0,8
,"CITY OF EAU CLAIRE Ward 32",981,289,597,1,50,,22,1,0,0,3,0,0,0,0,0,0,0,18
,"CITY OF EAU CLAIRE Ward 33",398,166,194,1,19,,7,0,0,0,6,0,0,0,0,0,0,0,5
,"CITY OF EAU CLAIRE Ward 34",384,137,198,9,21,,13,1,1,0,0,0,0,0,0,0,0,0,4
,"CITY OF EAU CLAIRE Ward 35",883,371,439,6,36,,8,0,0,0,5,0,0,0,0,0,0,0,18
,"CITY OF EAU CLAIRE Ward 36",258,122,120,0,11,,2,0,0,0,0,0,0,0,0,0,0,0,3
,"CITY OF EAU CLAIRE Ward 37",599,252,297,3,27,,10,0,0,0,4,0,0,0,0,0,0,0,6
,"CITY OF EAU CLAIRE Ward 38",748,317,348,3,55,,13,0,1,0,1,0,0,0,0,0,0,0,10
,"CITY OF EAU CLAIRE Ward 39",901,378,450,2,39,,12,0,1,0,3,0,0,0,0,0,0,0,16
,"CITY OF EAU CLAIRE Ward 42",325,143,164,1,12,,2,0,0,0,0,0,0,0,0,0,0,0,3
,"CITY OF EAU CLAIRE Ward 43",291,112,157,0,13,,4,0,0,0,2,0,0,0,0,0,0,0,3
,"CITY OF EAU CLAIRE Ward 44",78,35,35,1,5,,0,0,0,0,0,0,0,0,0,0,0,0,2
,"CITY OF EAU CLAIRE Ward 45",406,154,204,1,33,,4,0,1,0,8,0,0,0,0,0,0,0,1
,"CITY OF EAU CLAIRE Ward 46",929,258,565,2,59,,19,0,0,0,6,2,0,0,0,0,0,0,18
,"CITY OF EAU CLAIRE Ward 47",311,148,145,1,6,,4,0,0,0,5,0,0,0,0,0,0,0,2
,"CITY OF EAU CLAIRE Ward 48",391,138,210,2,24,,7,0,1,0,3,0,0,1,0,0,0,0,5
,"CITY OF EAU CLAIRE Ward 49",397,192,189,0,10,,0,0,0,0,1,0,0,0,0,0,0,0,5
,"CITY OF EAU CLAIRE Ward 50",2,0,2,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,"CITY OF EAU CLAIRE Ward 51",1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,"CITY OF EAU CLAIRE Ward 52",1,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,"CITY OF EAU CLAIRE Ward 53",0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,"CITY OF EAU CLAIRE Ward 54",0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,"CITY OF EAU CLAIRE Ward 55",4,0,4,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,"CITY OF EAU CLAIRE Ward 56",0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,"CITY OF EAU CLAIRE Ward 57",5,2,3,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,"CITY OF EAU CLAIRE Ward 58",1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,"CITY OF EAU CLAIRE Ward 59",0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,"CITY OF EAU CLAIRE Ward 60",1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,"CITY OF EAU CLAIRE Ward 61",0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,"CITY OF EAU CLAIRE Ward 62",0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,"CITY OF EAU CLAIRE Ward 63",0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,"CITY OF EAU CLAIRE Ward 64",0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,"CITY OF EAU CLAIRE Ward 65",13,7,5,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0
,"CITY OF EAU CLAIRE Ward 66",0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,"CITY OF EAU CLAIRE Ward 67",0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,"County Totals:","55,025","23,331","27,340",248,"2,504",,698,26,36,0,260,3,0,1,0,1,0,1,576
"FLORENCE ","TOWN OF AURORA Ward 1-3",550,407,127,0,15,,0,0,0,0,1,0,0,0,0,0,0,0,0
,"TOWN OF COMMONWEALTH Ward 1-3",228,161,60,2,3,,2,0,0,0,0,0,0,0,0,0,0,0,0
,"TOWN OF FENCE Ward 1",135,104,26,0,1,,3,0,0,0,1,0,0,0,0,0,0,0,0
,"TOWN OF FERN Ward 1",126,94,23,0,4,,2,1,0,0,2,0,0,0,0,0,0,0,0
,"TOWN OF FLORENCE Ward 1-7","1,163",782,335,2,35,,9,0,0,0,0,0,0,0,0,0,0,0,0
,"TOWN OF HOMESTEAD Ward 1",240,185,52,0,1,,1,0,0,0,1,0,0,0,0,0,0,0,0
,"TOWN OF LONG LAKE Ward 1",110,76,29,2,3,,0,0,0,0,0,0,0,0,0,0,0,0,0
,"TOWN OF TIPLER Ward 1",104,89,13,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,0
,"County Totals:","2,656","1,898",665,6,64,,17,1,0,0,5,0,0,0,0,0,0,0,0
"FOND DU LAC ","TOWN OF ALTO Wards 1-2",607,506,68,9,9,,5,0,0,0,1,0,0,0,0,2,0,0,7
,"TOWN OF ASHFORD Wards 1-3","1,002",745,204,9,32,,2,2,0,0,3,0,0,0,0,0,0,0,5
,"TOWN OF AUBURN Wards 1-3","1,421","1,084",265,9,41,,8,1,1,0,7,0,0,0,0,0,0,0,5
,"TOWN OF BYRON Wards 1-2",972,697,212,6,32,,10,0,1,0,7,0,0,0,0,0,0,0,7
,"TOWN OF CALUMET Ward 1",516,339,148,1,17,,0,1,1,0,4,0,0,0,0,0,0,0,5
,"TOWN OF CALUMET Ward 2",333,225,81,0,23,,2,1,0,0,0,0,0,0,0,0,0,0,1
,"TOWN OF EDEN Wards 1-2",625,473,121,5,17,,3,1,0,0,3,0,0,0,0,0,0,0,2
,"TOWN OF ELDORADO Wards 1-3",850,608,197,3,33,,4,0,0,0,2,0,0,0,0,0,0,0,3
,"TOWN OF EMPIRE Wards 1-4","1,749","1,095",546,5,57,,6,1,0,0,20,0,0,0,0,0,0,0,19
,"TOWN OF FOND DU LAC Wards 1-8","1,983","1,203",654,11,61,,14,3,0,0,13,0,0,0,0,0,0,0,24
,"TOWN OF FOND DU LAC Ward 1A",0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,"TOWN OF FOREST Wards 1-2",670,485,141,5,22,,4,1,0,0,4,0,0,0,0,0,0,0,8
,"TOWN OF FRIENDSHIP Wards 1-3","1,422",931,425,5,33,,18,0,0,0,1,0,0,0,0,0,0,0,9
,"TOWN OF LAMARTINE Wards 1-2","1,021",722,243,2,35,,6,0,1,0,9,0,0,0,0,0,0,0,3
,"TOWN OF MARSHFIELD Wards 1-2",650,444,168,7,22,,2,0,0,0,1,0,0,0,0,0,0,0,6
,"TOWN OF METOMEN Wards 1-2",401,282,87,2,23,,3,0,0,0,2,0,0,0,0,0,0,0,2
,"TOWN OF OAKFIELD Wards 1-2",379,259,97,2,9,,3,1,2,0,3,0,0,0,0,0,0,0,3
,"TOWN OF OSCEOLA Wards 1-2","1,092",801,251,1,24,,6,1,0,0,3,0,0,0,0,0,0,0,5
,"TOWN OF RIPON Wards 1-2",787,479,251,1,34,,13,1,1,0,3,0,0,0,0,0,0,0,4
,"TOWN OF ROSENDALE Ward 1",405,284,99,2,12,,4,0,0,0,2,0,0,0,0,0,0,0,2
,"TOWN OF SPRINGVALE Ward 1",389,282,91,3,6,,3,0,0,0,2,0,0,0,0,0,0,0,2
,"TOWN OF TAYCHEEDAH Wards 1-5","2,817","1,818",856,5,85,,16,0,0,0,13,0,0,0,0,0,0,0,24
,"TOWN OF WAUPUN Wards 1-2",787,548,201,6,14,,7,0,0,0,5,0,0,0,0,0,0,0,6
,"VILLAGE OF BRANDON Ward 1",438,293,113,4,21,,3,1,0,0,0,0,0,0,0,0,0,0,3
,"VILLAGE OF CAMPBELLSPORT Wards 1-4",968,643,242,6,48,,15,0,2,0,3,0,0,0,0,0,0,0,9
,"VILLAGE OF EDEN Ward 1",396,278,101,1,11,,4,0,0,0,0,0,0,0,0,0,0,0,1
,"VILLAGE OF FAIRWATER Ward 1",163,111,43,1,6,,0,0,0,0,1,0,0,0,0,0,0,0,1
,"VILLAGE OF KEWASKUM Ward 6",0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,"VILLAGE OF MOUNT CALVARY Ward 1",304,203,71,5,17,,5,1,0,0,0,0,0,0,0,0,0,0,2
,"VILLAGE OF NORTH FOND DU LAC Wards 1-7","2,372","1,229",978,6,104,,17,1,2,0,6,1,0,0,0,0,0,0,28
,"VILLAGE OF OAKFIELD Wards 1-2",593,383,180,1,16,,8,0,0,0,2,0,0,0,0,0,0,0,3
,"VILLAGE OF ROSENDALE Wards 1-2",578,397,159,1,17,,2,0,0,0,1,0,0,0,0,0,0,0,1
,"VILLAGE OF ST. CLOUD Ward 1",322,213,87,3,16,,2,0,0,0,0,0,0,0,0,0,0,0,1
,"CITY OF FOND DU LAC Ward 1",719,381,288,4,33,,8,0,0,0,0,0,0,0,0,0,0,0,5
,"CITY OF FOND DU LAC Ward 2",615,295,291,2,18,,4,0,0,0,1,0,0,0,0,0,0,0,4
,"CITY OF FOND DU LAC Ward 3","1,069",544,463,6,33,,9,1,0,0,4,1,0,0,0,0,0,0,8
,"CITY OF FOND DU LAC Ward 4",725,345,311,3,46,,7,3,0,0,2,0,0,0,0,0,0,0,8
,"CITY OF FOND DU LAC Ward 5","1,102",522,501,5,43,,9,0,0,0,8,0,0,0,0,0,0,0,14
,"CITY OF FOND DU LAC Ward 6",931,490,363,6,39,,10,1,0,0,4,0,0,0,0,1,0,0,17
,"CITY OF FOND DU LAC Ward 7",735,399,296,4,23,,6,0,2,0,0,0,0,0,0,0,0,0,5
,"CITY OF FOND DU LAC Ward 8",951,463,393,5,48,,21,1,0,0,5,0,0,0,1,0,0,0,14
,"CITY OF FOND DU LAC Ward 9",689,318,324,5,26,,6,0,1,0,3,0,0,0,0,0,0,0,6
,"CITY OF FOND DU LAC Ward 10",942,471,385,7,46,,12,0,1,0,7,0,0,0,0,0,0,0,13
,"CITY OF FOND DU LAC Ward 11",513,233,230,1,28,,10,0,0,0,4,0,0,0,0,0,0,0,7
,"CITY OF FOND DU LAC Ward 12",918,429,415,3,42,,13,1,0,0,3,0,0,0,0,0,0,0,12
,"CITY OF FOND DU LAC Ward 13",586,293,227,3,36,,14,0,0,0,3,0,0,0,0,0,0,0,10
,"CITY OF FOND DU LAC Ward 14",990,521,404,5,37,,11,1,1,0,6,0,0,0,0,0,0,0,4
,"CITY OF FOND DU LAC Ward 15",638,363,247,2,16,,1,0,0,0,5,0,0,0,0,0,0,0,4
,"CITY OF FOND DU LAC Ward 16",662,340,274,3,24,,9,0,0,0,3,0,0,0,0,0,0,0,9
,"CITY OF FOND DU LAC Ward 17",168,89,67,0,9,,1,0,0,0,0,0,0,0,0,0,0,0,2
,"CITY OF FOND DU LAC Ward 18",66,43,19,0,2,,1,0,0,0,1,0,0,0,0,0,0,0,0
,"CITY OF FOND DU LAC Ward 19",710,358,286,2,37,,15,1,2,0,4,0,0,0,0,0,0,0,5
,"CITY OF FOND DU LAC Ward 20",0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,"CITY OF FOND DU LAC Ward 21",964,511,384,5,44,,7,1,0,0,5,0,0,0,0,0,0,0,7
,"CITY OF FOND DU LAC Ward 22","1,086",602,425,4,26,,7,1,1,0,5,0,0,0,1,0,0,0,14
,"CITY OF FOND DU LAC Ward 23","1,061",595,395,4,43,,7,0,1,0,7,0,0,0,0,0,0,0,9
,"CITY OF FOND DU LAC Ward 24","1,157",604,478,4,44,,5,0,0,0,6,0,0,0,0,0,0,0,16
,"CITY OF FOND DU LAC Ward 25","1,307",778,434,2,52,,10,1,1,0,14,0,0,0,0,0,0,0,15
,"CITY OF FOND DU LAC Ward 26",1,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,"CITY OF FOND DU LAC Ward 27",0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,"CITY OF RIPON Ward 1-3",861,457,342,5,28,,12,3,0,0,3,0,0,0,0,0,0,0,11
,"CITY OF RIPON Ward 4-6",949,413,461,0,48,,14,1,0,0,3,0,0,0,0,0,0,0,9
,"CITY OF RIPON Wards 7-8",843,413,363,6,44,,6,0,0,0,3,0,0,0,0,0,0,0,8
,"CITY OF RIPON Ward 9-11","1,005",534,401,7,34,,12,0,0,0,10,0,0,0,0,0,0,0,7
,"CITY OF WAUPUN Wards 9-12","1,821","1,157",540,12,63,,6,2,2,0,20,0,0,0,0,0,0,0,19
,"CITY OF WAUPUN Ward 9B",0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,"County Totals:","51,796","31,022","17,387",242,"1,909",,448,35,23,0,260,2,0,0,2,3,0,0,463
"FOREST ","TOWN OF ALVIN Ward 1",100,69,28,1,1,,1,0,0,0,0,0,0,0,0,0,0,0,0
,"TOWN OF ARGONNE Wards 1-3",272,187,71,4,4,,4,0,1,0,1,0,0,0,0,0,0,0,0
,"TOWN OF ARMSTRONG CREEK Ward 1",223,154,64,0,1,,2,0,0,0,0,0,0,0,0,0,0,0,2
,"TOWN OF BLACKWELL Ward 1",59,37,17,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,3
,"TOWN OF CASWELL Ward 1",47,35,12,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,"TOWN OF CRANDON Wards 1-3",329,205,116,1,6,,0,0,0,0,0,0,0,0,0,0,0,0,1
,"TOWN OF FREEDOM Ward 1",222,143,74,2,2,,1,0,0,0,0,0,0,0,0,0,0,0,0
,"TOWN OF HILES Ward 1",255,161,89,0,1,,2,0,0,0,0,0,0,0,0,0,0,0,2
